Region,Terrorist-Score,Type,Score
Africa,1407.873535,Injuries,38600
Americas,526.4701361,Injuries,4579
Asia,1714.987125,Injuries,86977
Europe,682.6514733,Injuries,2404
Oceania,47.98902492,Injuries,1178
Africa,1407.873535,Hostages,8960
Americas,526.4701361,Hostages,1468
Asia,1714.987125,Hostages,7377
Europe,682.6514733,Hostages,214
Oceania,47.98902492,Hostages,179
Africa,1407.873535,Fatalities,40868
Americas,526.4701361,Fatalities,2961
Asia,1714.987125,Fatalities,50761
Europe,682.6514733,Fatalities,991
Oceania,47.98902492,Fatalities,412
Africa,1407.873535,Incidents,13806
Americas,526.4701361,Incidents,4085
Asia,1714.987125,Incidents,28117
Europe,682.6514733,Incidents,1774
Oceania,47.98902492,Incidents,91
