Year,COUNTRY,REGION,CATEGORY,,,,
2022,Turkey,Asia,Explosion,,,,
2022,Somalia,Africa,Explosion,,,,
2022,Afghanistan,Asia,Explosion,,,,
2022,Somalia,Africa,Explosion,,,,
2022,Indonesia,Asia,Assault,,,,
2022,India,Asia,Assault,,,,
2022,Norway,Europe,Assault,,,,
2022,Mali,Africa,Assault,,,,
2022,Israel,Asia,Assault,,,,
2022,Syria,Asia,Assault,,,,
2022,Pakistan,Asia,Explosion,,,,
2022,Afghanistan,Asia,Explosion,,,,
2022,Afghanistan,Asia,Explosion,,,,
2022,Afghanistan,Asia,Explosion,,,,
2022,Israel,Asia,Assault,,,,
2022,Iran,Asia,Assault,,,,
2022,Israel,Asia,Assault,,,,
2022,Israel,Asia,Assault,,,,
2022,Israel,Asia,Assault,,,,
2022,Pakistan,Asia,"Assault,Explosion",,,,
2022,Pakistan,Asia,Explosion,,,,
2022,Somalia,Africa,Explosion,,,,
2022,Congo,Africa,Assault,,,,
2022,Pakistan,Asia,Assault,,,,
2022,Iraq,Asia,Assault,,,,
2022,Pakistan,Asia,Explosion,,,,
2022,United Arab Emirates,Asia,Explosion,,,,
2022,United States,Americas,Hostage,,,,
2022,Nigeria,Africa,Assault,,,,
2021,Mali,Africa,Assault,,,,
2021,Iraq,Asia,Explosion,,,,
2021,Somalia,Africa,Explosion,,,,
2021,Israel,Asia,Assault,,,,
2021,Syria,Asia,Explosion,,,,
2021,United Kingdom,Europe,Assault,,,,
2021,New Zealand,Oceania,Assault,,,,
2021,Afghanistan,Asia,Explosion,,,,
2021,Burkina Faso,Africa,Unknown,,,,
2021,Peru,Americas,Unknown,,,,
2021,Afghanistan,Asia,Explosion,,,,
2021,Burkina Faso,Africa,Unknown,,,,
2021,Nigeria,Africa,Explosion,,,,
2021,Pakistan,Asia,Explosion,,,,
2021,Nigeria,Africa,Explosion,,,,
2021,India,Asia,Explosion,,,,
2021,Indonesia,Asia,Explosion,,,,
2021,Mozambique,Africa,Unknown,,,,
2021,Iraq,Asia,Explosion,,,,
2021,Pakistan,Asia,Unknown,,,,
2020,Yemen,Asia,Explosion,,,,
2020,Nigeria,Africa,Unknown,,,,
2020,Afghanistan,Asia,Assault,,,,
2020,Austria,Europe,Assault,,,,
2020,France,Europe,Assault,,,,
2020,Pakistan,Asia,Explosion,,,,
2020,Turkey,Asia,Explosion,,,,
2020,Afghanistan,Asia,Explosion,,,,
2020,France,Europe,Assault,,,,
2020,Croatia,Europe,Assault,,,,
2020,Syria,Asia,Explosion,,,,
2020,Germany,Europe,Assault,,,,
2020,France,Europe,Assault,,,,
2020,Philippines,Asia,Explosion,,,,
2020,Niger,Africa,"Assault,Hostage",,,,
2020,Cameroon,Africa,Explosion,,,,
2020,Afghanistan,Asia,Unknown,,,,
2020,Afghanistan,Asia,Explosion,,,,
2020,Ukraine,Europe,"Assault,Explosion,Hostage",,,,
2020,Pakistan,Asia,Explosion,,,,
2020,United Kingdom,Europe,Assault,,,,
2020,Nigeria,Africa,Assault,,,,
2020,Nigeria,Africa,Assault,,,,
2020,Niger,,Assault,,,,
2020,Syria,Asia,Explosion,,,,
2020,Mali,Africa,Assault,,,,
2020,France,Europe,Assault,,,,
2020,Afghanistan,Asia,"Assault,Explosion",,,,
2020,Afghanistan,Asia,Assault,,,,
2020,Canada,Americas,Assault,,,,
2020,Germany,Europe,Assault,,,,
2020,Burkina Faso,Africa,Assault,,,,
2020,Afghanistan,Asia,Explosion,,,,
2020,Nigeria,Africa,Unknown,,,,
2020,United Kingdom,Europe,Assault,,,,
2020,United Kingdom,Europe,Explosion,,,,
2020,Somalia,Africa,Explosion,,,,
2020,Pakistan,Asia,Explosion,,,,
2020,Niger,,Assault,,,,
2020,France,Europe,Assault,,,,
2019,Somalia,Africa,Explosion,,,,
2019,Burkina Faso,Africa,Unknown,,,,
2019,Niger,Africa,"Explosion,Hostage",,,,
2019,Afghanistan,Asia,Unknown,,,,
2019,United States,Americas,Unknown,,,,
2019,Kenya,Africa,Assault,,,,
2019,United States,Americas,Unknown,,,,
2019,United Kingdom,Europe,"Assault,Explosion",,,,
2019,Indonesia,Asia,Explosion,,,,
2019,Mali,Africa,Unknown,,,,
2019,India,Asia,Unknown,,,,
2019,Afghanistan,Asia,Explosion,,,,
2019,Burkina Faso,Africa,Assault,,,,
2019,Indonesia,,Assault,,,,
2019,Germany,Europe,Unknown,,,,
2019,Burkina Faso,,Unknown,,,,
2019,France,Europe,Assault,,,,
2019,Syria,Asia,Explosion,,,,
2019,Burkina Faso,Africa,Explosion,,,,
2019,Gaza,,Explosion,,,,
2019,United Kingdom,Europe,Explosion,,,,
2019,Afghanistan,Asia,Explosion,,,,
2019,Norway,Europe,Assault,,,,
2019,Gaza,,Assault,,,,
2019,Egypt,Africa,"Explosion,Accident",,,,
2019,United States,Americas,Assault,,,,
2019,Afghanistan,Asia,Explosion,,,,
2019,Nigeria,Africa,Unknown,,,,
2019,Somalia,Africa,"Assault,Explosion",,,,
2019,Afghanistan,Asia,"Assault,Explosion",,,,
2019,Philippines,Asia,Explosion,,,,
2019,Ethiopia,Africa,Unknown,,,,
2019,United States,Americas,Assault,,,,
2019,Nigeria,Africa,Explosion,,,,
2019,India,Asia,Assault,,,,
2019,Saudi Arabia,Asia,Assault,,,,
2019,Mali,Africa,Unknown,,,,
2019,Sudan,Africa,Unknown,,,,
2019,Lebanon,Asia,Explosion,,,,
2019,Germany,Europe,Unknown,,,,
2019,Syria,,Explosion,,,,
2019,Nepal,Asia,"Explosion,Accident",,,,
2019,Afghanistan,Asia,Explosion,,,,
2019,France,Europe,Explosion,,,,
2019,Pakistan,Asia,"Assault,Explosion",,,,
2019,Pakistan,Asia,Explosion,,,,
2019,Israel,,Assault,,,,
2019,India,Asia,Explosion,,,,
2019,United States,Americas,Assault,,,,
2019,Cameroon,Africa,Unknown,,,,
2019,Sri Lanka,Asia,Explosion,,,,
2019,Sri Lanka,Asia,Explosion,,,,
2019,Pakistan,Asia,Unknown,,,,
2019,Pakistan,Asia,Unknown,,,,
2019,India,Asia,Explosion,,,,
2019,India,Asia,Assault,,,,
2019,United States,Americas,Unknown,,,,
2019,United States,Americas,Assault,,,,
2019,Mali,Africa,Unknown,,,,
2019,Italy,Europe,Unknown,,,,
2019,Netherlands,Europe,Assault,,,,
2019,Gaza,,Assault,,,,
2019,New Zealand,Oceania,Unknown,,,,
2019,India,Asia,Explosion,,,,
2019,Somalia,Africa,"Assault,Explosion",,,,
2019,Bangladesh,,Unknown,,,,
2019,Pakistan,Asia,Assault,,,,
2019,India,Asia,Explosion,,,,
2019,Iran,Asia,Explosion,,,,
2019,Nigeria,Africa,Assault,,,,
2019,Somalia,Africa,Explosion,,,,
2019,Pakistan,Asia,"Assault,Explosion",,,,
2019,Philliphines,,Explosion,,,,
2019,Afghanistan,Asia,"Assault,Explosion",,,,
