DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
11/13/2022,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,Kurdistan Workers' Party (PKK),81,6,"A Syrian female placed a bag next to a bench on Istiklal Avenue, then fled the scene and detonated the bomb, injuring 81 and killing 6 people. The attacker was identified as Ahlam Albashır and was arrested 10 hours later by the Police Special Operation Department.","41.0091982,28.9662187",Explosion,2022
10/29/2022,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al-Shabaab,300,121,A double car bombing killed at least 121 people and injured over 300 others at Zobe junction in the Somali capital.,"2.0349312,45.3419183",Explosion,2022
9/5/2022,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State - Khorasan Province,20,10,"A suicide bomber approached the Russian embassy in Kabul. The attacker was shot dead by security forces, but his explosives went off after he was killed. At least 10 people, including two embassy employees, were killed in the attack. 15 to 20 others became injured. The Islamic State – Khorasan Province claimed responsibility for the attack.","34.5260109,69.1776838",Explosion,2022
8/21/2022,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al-Shabaab,117,21,"Two car bombs exploded at the Hayat Hotel in Mogadishu. Afterwards gunmen from al-Shabaab besieged the hotel, shooting at people and taking hostages. After 30 hours the security forces ended the attack. 21 people were killed in the attack and 117 were injured.","2.0349312, 45.3419183",Explosion,2022
7/16/2022,Indonesia,Papua,,South-Eastern Asia,Asia,West Papua National Liberation Army,2,10,"Around 20 gunmen attacked the village of Nogolait, Highland Papua. 10 men were shot to death and two others became injured. The West Papua National Liberation Army is suspected to be behind the attack.","-4.318185048526521, 138.18016262274278",Assault,2022
6/28/2022,India,Rajasthan,Udaipur,Southern Asia,Asia,Islamists,0,1,"A Hindu tailor was murdered by two Muslim assailants on 28 June 2022 in Udaipur, in the Indian state of Rajasthan. The assailants captured the attack on camera and circulated the video online. In what seems to be a second video (taken after the attack), the assailants boasted about the murder to avenge the insult to Islam and also made threats against India's Prime Minister Narendra Modi.","24.612639887486125, 73.69126308833513",Assault,2022
6/25/2022,Norway,,Oslo,Northern Europe,Europe,,10,2,"Two people were killed and 21 injured, 10 of them seriously, in a busy nightlife district in Oslo.","59.913751261491804, 10.75215147566024",Assault,2022
6/18/2022,Mali,,,Western Africa,Africa,Macina Liberation Front,,132,"Unidentified gunmen killed 132 civilians in Diallassagou and nearby villages in Mopti Region. The attackers also burned huts, houses, and stole cattle. The attack was blamed on the Macina Liberation Front.","16.3700359,-2.2900239",Assault,2022
5/5/2022,Israel,,,Western Asia,Asia,As'ad Alrafa'ani and Sabhi Shajir,4,3,"In Central Israel, two Palestinian men attacked people celebrating Israel's Independence Day in a park with axes. Three people were killed and four injured.","31.5313113,34.8667654",Assault,2022
4/27/2022,Syria,,,Western Asia,Asia,Islamic State,4,7,"In Deir ez-Zor Governorate, Islamic State militants attacked the house of former Syrian Democratic Forces spokesman Nouri Hamish, during iftar. Seven people, including Hamish, were killed and four others injured.","34.6401861,39.0494106",Assault,2022
4/26/2022,Pakistan,Sindh,Karachi,Southern Asia,Asia,Baloch Liberation Army,4,4,"A female suicide bomber struck a van near the University of Karachi's Confucius Institute, killing three Chinese citizens and their Pakistani driver. The Balochistan Liberation Army claimed responsibility for the attack.","24.8546842,67.0207055",Explosion,2022
4/22/2022,Afghanistan,Kunduz Province,Kunduz,Southern Asia,Asia,Islamic State - Khorasan Province,43,33,A bombing attack at the Sufi Khanaqa-e-Malawi Sikandar mosque killed 33 people and injured 43 others. The Islamic State claimed responsibility for the attack.,"36.8707187,68.7563528",Explosion,2022
4/21/2022,Afghanistan,,,Southern Asia,Asia,Islamic State - Khorasan Province,87,31,A remote-controlled booby trapped bag exploded in the Shia Seh Dokan mosque in Balkh Province killed 31 people and injured 87 others. The Islamic State claimed the attack as part of an ongoing global campaign to avenge the deaths of its former leader and spokesman.,"33.7680065,66.2385139",Explosion,2022
